Rank,County,Population
1,Los Angeles County,"10,105,518"
2,San Diego County,"3,343,364"
3,Orange County,"3,185,968"
4,Riverside County,"2,450,758"
5,San Bernardino County,"2,171,603"
6,Santa Clara County,"1,937,570"
7,Alameda County,"1,666,753"
8,Sacramento County,"1,540,975"
9,Contra Costa County,"1,150,215"
10,Fresno County,"994,400"
11,Kern County,"896,764"
12,San Francisco County,"883,305"
13,Ventura County,"850,967"
14,San Mateo County,"769,545"
15,San Joaquin County,"752,660"
16,Stanislaus County,"549,815"
17,Sonoma County,"499,942"
18,Tulare County,"465,861"
19,Solano County,"446,610"
20,Santa Barbara County,"446,527"
21,Monterey County,"435,594"
22,Placer County,"393,149"
23,San Luis Obispo County,"284,010"
24,Merced County,"274,765"
25,Santa Cruz County,"274,255"
26,Marin County,"259,666"
27,Butte County,"231,256"
28,Yolo County,"220,408"
29,El Dorado County,"190,678"
30,Imperial County,"181,827"
31,Shasta County,"180,040"
32,Madera County,"157,672"
33,Kings County,"151,366"
34,Napa County,"139,417"
35,Humboldt County,"136,373"
36,Nevada County,"99,696"
37,Sutter County,"96,807"
38,Mendocino County,"87,606"
39,Yuba County,"78,041"
40,Lake County,"64,382"
41,Tehama County,"63,916"
42,San Benito County,"61,537"
43,Tuolumne County,"54,539"
44,Calaveras County,"45,602"
45,Siskiyou County,"43,724"
46,Amador County,"39,383"
47,Lassen County,"30,802"
48,Glenn County,"28,047"
49,Del Norte County,"27,828"
50,Colusa County,"21,627"
51,Plumas County,"18,804"
52,Inyo County,"17,987"
53,Mariposa County,"17,471"
54,Mono County,"14,250"
55,Trinity County,"12,535"
56,Modoc County,"8,777"
57,Sierra County,"2,987"
58,Alpine County,"1,101"
